city,avg_temp,wind_speed,precipitation,transport_capacity,resident_population,historical_signups,signup_growth,temp_cost,wind_cost,precip_cost,score
Beauty,15.93764831831564,2.138076112059444,0,36.6,6709629,46655,0,0.18752966366312798,0.1380761120594438,0,0.5484706193967824
572590,16.198596023775362,1.6011588204862908,0,321.4,8970014,149012,0,0.23971920475507247,0.39884117951370923,0,0.5481960177411952
清远,14.397188100366767,2.0378951149425286,0,412.6,3969473,226,0,0.12056237992664656,0.03789511494252862,0,0.5479603535475913
582510,16.507909806728705,2.0014146693097854,0,3796.1,9369881,149,0,0.301581961345741,0.001414669309785399,0,0.5478577591704339
549290,15.678879933870636,2.586168987540572,0,336.2,2723637,411512,0,0.13577598677412722,0.5861689875405718,0,0.5475914012339628
548430,15.040441110813465,1.9559496158656424,0,5867.1,2333,19,0,0.008088222162692916,0.04405038413435758,0,0.5475005316719117
黔东南苗族侗族自治州,15.974089033532866,1.7633569522407289,0,2618.4,3758622,249203,0,0.19481780670657328,0.23664304775927114,0,0.547452344078584
546180,14.97727435210009,2.1244468429573664,0,11991.7,420594,139,0,0.004545129579981833,0.12444684295736641,0,0.5473824385704699
582380,17.48856304,2.568421205603674,0,8,20937757,65,0,0.497712608,0.5684212056036739,0,0.5469699117623249
Mega,14.60314818979087,1.8664546402502609,0,1414.9,2709378,49,0,0.07937036204182597,0.13354535974973913,0,0.5469634549508988
576330,15.425514254781667,1.9016595240266252,0,184.4,2431211,6759,0,0.08510285095633349,0.09834047597337481,0,0.5469018754723277
549090,15.93764831831564,2.30516140634835,0,31773.4,6981236,770,0,0.18752966366312798,0.3051614063483501,0,0.5465580382555891
576620,18.299101123595506,2.704790853824517,0,607.7,2290208,1603366,0,0.6598202247191012,0.7047908538245169,0,0.5464938181513963
榆林,14.376852895950796,2.164678710737015,0,607.7,3624750,55,0,0.12462942080984085,0.1646787107370149,0,0.5459322984450963
厦门,14.272722391265438,2.322316076294278,0,2205.3,5163970,16,0,0.14545552174691245,0.32231607629427783,0,0.5451923140192592
唐山,14.66395889186774,2.919121071012805,0,30590.4,7717983,2580,0,0.06720822162645206,0.919121071012805,0,0.544984909560549
佳木斯,14.78014140793114,1.5770010449320797,0,31773.4,2156505,78,0,0.04397171841377201,0.4229989550679203,0,0.5449522521596353
营口,14.617447246525993,2.312680089485459,0,2205.3,2328582,498,0,0.07651055069480144,0.3126800894854589,0,0.544589361103681
辽源,15.040441110813465,2.445791988239618,0,1978.8,996903,2397,0,0.008088222162692916,0.44579198823961796,0,0.5441448089455646
南京,16.882510876320694,2.0829414587332056,0,8893.6,9314685,548,0,0.3765021752641388,0.08294145873320558,0,0.5437224846904865
539750,13.617136703927804,2.112884893573052,0,1942.8,6234401,5611,0,0.2765726592144393,0.1128848935730522,0,0.5437027029308646
黔南布依族苗族自治州,15.974089033532866,2.164678710737015,0,26139.4,3494385,127,0,0.19481780670657328,0.1646787107370149,0,0.5434752321067788
571310,16.060185847033598,2.1984037306071205,0,61.9,4599360,167,0,0.21203716940671952,0.19840373060712047,0,0.5431879805159242
江西省,17.974991023339317,4.359739077669903,0,26139.4,40605728,220,0,0.5949982046678635,2.3597390776699028,0,0.5431801872118197
Tianjin,16.44396313364055,2.22873007343722,0,23.9,7462135,721,0,0.28879262672811024,0.22873007343721996,0,0.5431775415816877
衢州,15.92466319382073,2.0824086603518266,0,3213.5,2276184,5374,0,0.18493263876414617,0.08240866035182659,0,0.5429837594749628
Marathon,14.376852895950796,2.201745610453246,0,160.5,1315709,1155,0,0.12462942080984085,0.20174561045324602,0,0.542702609940063
570360,15.00550106237448,2.8260325406758446,0,26139.4,2820977,677,0,0.0011002124748959118,0.8260325406758446,0,0.5426096822030972
盐城,15.30673936360386,2.984969849698497,0,2385.6,6709629,3328,0,0.061347872720772044,0.9849698496984969,0,0.5425714335028273
景德镇,15.00550106237448,1.2723495318769504,0,1.3,1618979,39814,0,0.0011002124748959118,0.7276504681230496,0,0.5425477546246399
562470,14.60314818979087,1.6569401884008623,0,1757.9,698322,3328,0,0.07937036204182597,0.3430598115991377,0,0.5421939654305254
567510,16.44396313364055,1.8590885551527705,0,3213.5,5607565,392,0,0.28879262672811024,0.1409114448472295,0,0.5419944426711021
云南省,8.539461201109818,1.9401340482573728,0,3213.5,42527437,870,0,1.2921077597780364,0.05986595174262721,0,0.5419514099242889
陇南,10.30037563724175,2.138076112059444,0,5078.5,2407272,1681057,0,0.93992487255165,0.1380761120594438,0,0.5419054878707118
Tashan,14.529411764705882,1.212878539411829,0,11992.5,5054328,196,0,0.09411764705882356,0.7871214605881709,0,0.5417648816832404
呼伦贝尔,15.93764831831564,1.82875781948168,0,3213.5,2242875,133,0,0.18752966366312798,0.17124218051831996,0,0.54169802681922
Twelve,13.349052556310331,1.6218299406276506,0,11991.7,8795939,3721,0,0.3301894887379337,0.3781700593723494,0,0.5415573552868171
545270,14.376852895950796,2.627057497181511,0,899.1,4379998,4196,0,0.12462942080984085,0.6270574971815108,0,0.5414636971587138
565860,13.523308585172016,1.7331445667272145,0,4695,6563520,167,0,0.29533828296559683,0.2668554332727855,0,0.5414035817602265
贺州,16.198596023775362,1.9559496158656424,0,31773.4,2007858,1155,0,0.23971920475507247,0.04405038413435758,0,0.5413518842333916
广安,16.092843854644673,2.1994204298478626,0,1866.6,3254883,66,0,0.2185687709289347,0.19942042984786257,0,0.5412928681617591
海口,14.397188100366767,2.536424191160922,0,607.7,2873358,810,0,0.12056237992664656,0.536424191160922,0,0.5408076291144633
甘肃省,17.392446448703495,3.234921610820781,0,1757.9,22531421,246,0,0.47848928974069904,1.234921610820781,0,0.5407729857440143
Laoshan,14.66873489121676,1.5298642940594949,0,5867.1,232124,2397,0,0.06625302175664807,0.47013570594050513,0,0.5407409085947241
克拉玛依,15.897747286504195,1.9061229370963884,0,330.2,490348,139,0,0.17954945730083907,0.09387706290361164,0,0.5407404879812849
547150,14.529411764705882,2.537703063952293,0,1.3,54731,114921,0,0.09411764705882356,0.5377030639522928,0,0.5406368330800664
579220,16.49663405911434,2.238226201897452,0,8,2873358,171810,0,0.2993268118228677,0.23822620189745214,0,0.5403033468433142
567390,16.110355029585797,1.8721344232515893,0,8188.2,1593444,16,0,0.22207100591715942,0.1278655767484107,0,0.5401132177910832
白沙黎族自治县,15.484093161546086,1.6011588204862908,0,8,164699,604,0,0.09681863230921728,0.39884117951370923,0,0.5401123141681923
Szentendre,13.349052556310331,2.223366782715544,0,11500.4,6174050,317,0,0.3301894887379337,0.2233667827155439,0,0.5401051137847181
枣庄,16.198596023775362,2.374586790798084,0,31773.4,3855601,23400,0,0.23971920475507247,0.3745867907980842,0,0.5400974234979955
577070,14.617447246525993,1.212878539411829,0,3.4,3321853,398,0,0.07651055069480144,0.7871214605881709,0,0.5400912268953934
金华,15.897747286504195,2.825769264359116,0,693.7,7050683,5625,0,0.17954945730083907,0.8257692643591161,0,0.5400148497842069
柳州,13.975038704299154,2.445791988239618,0,184.4,4157934,197,0,0.20499225914016925,0.44579198823961796,0,0.5399566810343595
大连,15.66038741416419,3.023445061839039,0,1942.8,7450785,16,0,0.13207748283283785,1.023445061839039,0,0.5399461096425928
581410,15.92466319382073,2.322316076294278,0,5078.5,2088692,129,0,0.18493263876414617,0.32231607629427783,0,0.5398660101753724
538980,15.776058214615148,2.509230610561056,0,11668.1,2488105,1529,0,0.15521164292302955,0.509230610561056,0,0.5394974902707691
Shancheng,10.905388501323069,1.9154022988505748,0,5365.7,21893095,371,0,0.8189222997353862,0.08459770114942522,0,0.5391173563482644
560960,16.274032704852115,1.6933678941723276,0,18733.5,3180884,11235,0,0.2548065409704229,0.3066321058276724,0,0.5389741338727504
Narlica,16.54149519273969,1.9061229370963884,0,3796.1,3296408,51,0,0.3082990385479377,0.09387706290361164,0,0.5388917971569414
Craze,15.424443650013409,1.4379357846773335,0,74.1,63487,48,0,0.08488873000268171,0.5620642153226665,0,0.53852502746938
570250,13.723046194817169,2.016041794714198,0,899.1,425199,392,0,0.25539076103656627,0.016041794714197977,0,0.5384952806724373
Snowdonia,15.678879933870636,2.515651376146789,0,11992.5,1079353,169,0,0.13577598677412722,0.5156513761467889,0,0.5384912325537269
567480,17.236959699310923,2.31389614460349,0,607.7,10047914,3627,0,0.4473919398621845,0.3138961446034898,0,0.5384460114537702
防城港,15.425514254781667,2.688810213496406,0,23.9,1046068,11403,0,0.08510285095633349,0.688810213496406,0,0.5383866498490635
驻马店,16.663067620210477,2.434112399643176,0,472.5,7008427,10433,0,0.3326135240420953,0.43411239964317616,0,0.5383543105271252
鄂州,13.723046194817169,1.9061229370963884,0,3.4,1079353,205,0,0.25539076103656627,0.09387706290361164,0,0.5383373561872863
570670,13.733491707754371,2.133712465878071,0,304,1382713,78,0,0.2533016584491257,0.13371246587807084,0,0.5383202887508275
邯郸,13.723046194817169,2.9251945126945125,0,23.9,9413990,280,0,0.25539076103656627,0.9251945126945125,0,0.5382566093713669
546020,13.803917737789204,1.9154022988505748,0,61.9,276215,697,0,0.23921645244215917,0.08459770114942522,0,0.5381621241236043
548230,16.092843854644673,2.361103499813177,0,472.5,2193518,78,0,0.2185687709289347,0.361103499813177,0,0.5380191441890629
579020,16.7937978215861,1.9843621021737137,0,5365.7,3033528,53,0,0.35875956431722,0.01563789782628633,0,0.5373990497486499
567860,16.568803199671827,2.532156944156114,0,1.3,6709629,9,0,0.3137606399343653,0.5321569441561138,0,0.5373406852177341
东营,16.57904654036244,2.112884893573052,0,11991.7,2193518,40,0,0.3158093080724882,0.1128848935730522,0,0.5371763019382508
580270,16.54149519273969,1.7633569522407289,0,4695,3180884,175,0,0.3082990385479377,0.23664304775927114,0,0.5370327897563008
Engine,13.733491707754371,2.268093525179856,0,4695,1538715,162,0,0.2533016584491257,0.26809352517985596,0,0.536991307378406
湖北省,21.159876184386444,3.516305027234574,0,24.5,52952622,321,0,1.231975236877289,1.5163050272345742,0,0.5368528711363021
九江,13.446146061730476,2.391425908667288,0,5365.7,4600276,3339,0,0.31077078765390487,0.391425908667288,0,0.536824742281147
547530,14.433029409135605,2.64774678111588,0,5365.7,265322,408,0,0.11339411817287903,0.6477467811158801,0,0.5366919189676684
Guangde,16.092843854644673,2.5825118224809023,0,693.7,3209004,3328,0,0.2185687709289347,0.5825118224809023,0,0.5365962546395638
上海,15.776058214615148,4.725403116836321,0,31773.4,23533217,3594,0,0.15521164292302955,2.725403116836321,0,0.5365216983093651
渭南,14.272722391265438,2.9923887587822016,0,5078.5,4688744,293,0,0.14545552174691245,0.9923887587822016,0,0.5364055056299147
549450,14.66395889186774,3.019361241429087,0,1414.9,2188436,205,0,0.06720822162645206,1.019361241429087,0,0.5362399104996654
自贡,16.74377240143369,2.08958744674218,0,2618.4,2489256,1670,0,0.3487544802867383,0.08958744674218,0,0.5362347352543732
577120,16.393145036594166,1.3827710206240085,0,1866.6,5324476,127,0,0.2786290073188333,0.6172289793759915,0,0.5361228588112303
Sur,16.663067620210477,1.824027790309483,0,3054.5,2407272,4288,0,0.3326135240420953,0.17597220969051697,0,0.5358318481997334
572650,16.74377240143369,2.01322388598232,0,11991.7,1142142,66,0,0.3487544802867383,0.013223885982319938,0,0.5357066152572246
宜昌,16.991001960581983,1.9165006539893348,0,3432.1,3762407,96,0,0.3982003921163965,0.08349934601066522,0,0.5357031502973117
578530,18.8869292654895,1.4801590668080593,0,30590.4,21893095,484,0,0.7773858530978999,0.5198409331919407,0,0.5356790547700402
鞍山,14.024476013041452,2.826759939785708,0,412.6,3325372,46945,0,0.19510479739170955,0.8267599397857079,0,0.5355142619625963
长春,17.596539080665355,2.1994204298478626,0,1755.8,9066906,80,0,0.5193078161330711,0.19942042984786257,0,0.5353297401825917
鹤岗,15.93764831831564,2.648264358488865,0,31773.4,891271,16924,0,0.18752966366312798,0.648264358488865,0,0.5351736132413646
锦州,13.523308585172016,1.6218299406276506,0,1.3,2703853,65,0,0.29533828296559683,0.3781700593723494,0,0.5351450930216846
572370,16.57904654036244,1.6571399134555946,0,5867.1,2738482,5184,0,0.3158093080724882,0.34286008654440536,0,0.5349741312712841
黄南藏族自治州,14.024476013041452,2.505117320384962,0,412.6,276215,49,0,0.19510479739170955,0.5051173203849619,0,0.5349262183443172
湖南省,6.943274004116721,2.845450308749854,0,412.6,60259929,25,0,1.611345199176656,0.8454503087498542,0,0.5347165088254736
文山,16.74377240143369,2.381793061099171,0,3.4,3928568,55,0,0.3487544802867383,0.3817930610991711,0,0.5342602501802657
Tango,9.96457086719657,3.0190489032722043,0,3.4,35971454,1236,0,1.007085826560686,1.0190489032722043,0,0.5342043953888965
582210,16.882510876320694,2.579233266733267,0,26139.4,6455231,65,0,0.3765021752641388,0.5792332667332669,0,0.5341669584518828
578160,16.13547524205507,2.930494577384933,0,2385.6,5163970,158,0,0.22709504841101377,0.9304945773849331,0,0.5341607021317175
567680,17.255673882681563,2.1484980789381765,0,24.5,4983340,1092,0,0.4511347765363126,0.14849807893817646,0,0.5339777247394273
545110,13.60381495158617,2.505117320384962,0,607.7,2439585,175,0,0.27923700968276605,0.5051173203849619,0,0.5339453360848585
宁波,14.376852895950796,3.759027046013348,0,3213.5,9404283,44110,0,0.12462942080984085,1.759027046013348,0,0.5338362557052195
Hochk,14.66395889186774,3.019361241429087,0,321.4,66571,157,0,0.06720822162645206,1.019361241429087,0,0.5336588637437005
沧州,17.825450733752618,2.164678710737015,0,1942.8,7300783,103668,0,0.5650901467505236,0.1646787107370149,0,0.5335384272737969
保定,18.19591268415379,2.1484980789381765,0,1.3,11544036,1437,0,0.6391825368307579,0.14849807893817646,0,0.5334730277761838
淄博,17.500499474237646,1.9671404155797427,0,304,4704138,19471,0,0.5000998948475293,0.03285958442025727,0,0.5332658477993975
包头,16.882510876320694,1.7389660772284374,0,8188.2,2709378,39,0,0.3765021752641388,0.26103392277156257,0,0.5332567500440865
湖州,16.882510876320694,1.680008303923604,0,4695,3367579,429,0,0.3765021752641388,0.319991696076396,0,0.5332438005296717
571930,16.70091977516607,2.3536502721018584,0,3432.1,2388294,88,0,0.34018395503321414,0.3536502721018584,0,0.5331919624968771
537980,15.269096105752054,3.1547176554681915,0,2618.4,556621,15,0,0.05381922115041071,1.1547176554681915,0,0.5331497409687037
Festival,16.49663405911434,1.3998749739529068,0,3.4,3398431,2307,0,0.2993268118228677,0.6001250260470932,0,0.5330525739733059
570830,16.663067620210477,2.5106017441860464,0,899.1,3571505,39,0,0.3326135240420953,0.5106017441860464,0,0.5329142642086734
566840,13.975038704299154,3.686620558072979,0,23.9,11544036,576,0,0.20499225914016925,1.686620558072979,0,0.5328856796895464
许昌,16.95676086567698,1.5770010449320797,0,11500.4,4379998,78,0,0.391352173135396,0.4229989550679203,0,0.5326472251562228
遵义,15.484093161546086,3.65768600122976,0,4417,6606675,25961,0,0.09681863230921728,1.6576860012297598,0,0.5326204732732625
568860,16.969835962804304,2.536424191160922,0,8893.6,5477614,3594,0,0.3939671925608607,0.536424191160922,0,0.5324227079251649
Xiaoxiang,17.006317867719645,2.28977191091954,0,184.4,2007858,85274,0,0.40126357354392894,0.2897719109195398,0,0.5324180369778913
SkyRun,16.54149519273969,2.568421205603674,0,1942.8,2855131,392,0,0.3082990385479377,0.5684212056036739,0,0.5324058353835187
湛江,17.252262931034483,1.5253315375051804,0,1414.9,6981236,249,0,0.45045258620689665,0.47466846249481964,0,0.5322746703334181
517160,13.349052556310331,1.5011621669944573,0,26139.4,2242875,1524,0,0.3301894887379337,0.49883783300554274,0,0.5321122764564553
577310,17.591636275224896,1.9421880762138908,0,8188.2,4858359,182,0,0.5183272550449793,0.05781192378610922,0,0.5321084811974314
584770,17.995827725437415,2.0799854769901063,0,321.4,8200264,54,0,0.5991655450874831,0.07998547699010627,0,0.5320365844862979
吉林,18.082228780967714,2.2256317689530687,0,61.9,3623713,411512,0,0.6164457561935428,0.2256317689530687,0,0.5318127362570286
566710,17.825450733752618,3.563129610115911,0,1942.8,22531421,7921,0,0.5650901467505236,1.5631296101159111,0,0.5315323937849841
Ultimate,17.44950175060598,1.9843621021737137,0,11992.5,444458,149012,0,0.48990035012119576,0.01563789782628633,0,0.5315202228989198
579931,13.446146061730476,2.374586790798084,0,3054.5,123281,2,0,0.31077078765390487,0.3745867907980842,0,0.5314712056841726
545390,13.078294712355731,2.28977191091954,0,8893.6,1706328,2397,0,0.3843410575288537,0.2897719109195398,0,0.5313898764656722
582080,17.392446448703495,2.164678710737015,0,2385.6,3873239,2401,0,0.47848928974069904,0.1646787107370149,0,0.5312530672751137
舟山,14.245764288621432,3.0476834841831706,0,2205.3,1157817,7921,0,0.1508471422757136,1.0476834841831706,0,0.5312325880920237
517650,12.642356517074914,1.805027579347138,0,8188.2,3772088,3627,0,0.4715286965850172,0.19497242065286202,0,0.5312111721713835
太原,12.61792710141334,2.30516140634835,0,412.6,5304061,392,0,0.47641457971733203,0.3051614063483501,0,0.5312001601865817
518180,13.342209718670077,1.5353488847963983,0,8,1565973,3594,0,0.33155805626598467,0.4646511152036017,0,0.5311562292307532
545340,12.61792710141334,2.2612634975797445,0,5867.1,2859074,114921,0,0.47641457971733203,0.26126349757974454,0,0.5311458283214381
570710,16.114313524590166,3.155895017428747,0,5078.5,4931137,43,0,0.22286270491803323,1.155895017428747,0,0.5311402888214317
High,17.392446448703495,2.016041794714198,0,402.7,2242875,52,0,0.47848928974069904,0.016041794714197977,0,0.5310721992062228
545273,14.397188100366767,3.106683355649997,0,2385.6,560894,233,0,0.12056237992664656,1.1066833556499969,0,0.5309217224709085
Bafenshan,17.006317867719645,2.1259222333001,0,3796.1,312663,1,0,0.40126357354392894,0.12592223330010022,0,0.5308719191028392
538630,13.310022545603609,2.530245960687455,0,1755.8,2252994,498,0,0.33799549087927827,0.5302459606874552,0,0.5308422324541
赣州,17.862762148337595,2.361103499813177,0,1755.8,8970014,141,0,0.572552429667519,0.361103499813177,0,0.5305513227683097
Nakanoto,17.20103009673952,2.141832704292109,0,3432.1,1618979,205,0,0.44020601934790377,0.14183270429210904,0,0.5305115860534029
Matterhorn,16.969835962804304,1.6188833408987744,0,184.4,2194545,1092,0,0.3939671925608607,0.3811166591012256,0,0.530163464374233
Cappadocia,12.727845754542084,2.4602644273718064,0,1866.6,5270977,173,0,0.45443084909158316,0.4602644273718064,0,0.5301628093103153
Two,17.608077042559803,2.9003089598352214,0,330.2,12600574,273,0,0.5216154085119605,0.9003089598352214,0,0.5301535022998438
Chengdu,13.723046194817169,2.9098879922919427,0,184.4,2602959,8296,0,0.25539076103656627,0.9098879922919427,0,0.5301319979871737
539150,10.353224941933178,2.310154149489156,0,330.2,21893095,4764,0,0.9293550116133644,0.310154149489156,0,0.53007588262029
梧州,16.57904654036244,1.2609600600037505,0,5365.7,2820977,5611,0,0.3158093080724882,0.7390399399962495,0,0.5299951834998874
乐山,12.409754098360656,1.947075978511128,0,566.7,3160168,398,0,0.5180491803278688,0.052924021488871986,0,0.5299396911239833
571780,16.499364141142753,2.648264358488865,0,4695,1253878,73,0,0.2998728282285505,0.648264358488865,0,0.5298648147512212
581020,16.95676086567698,2.3849360407907683,0,899.1,1647280,88,0,0.391352173135396,0.38493604079076826,0,0.5295667182600112
固原,16.44396313364055,2.7242746303615872,0,11991.7,1142142,770,0,0.28879262672811024,0.7242746303615872,0,0.5294109304404693
黄冈,17.252262931034483,2.6054782218230805,0,11991.7,5882719,114,0,0.45045258620689665,0.6054782218230805,0,0.5293980984200477
517090,14.024476013041452,3.133982476057404,0,23.9,2305657,170,0,0.19510479739170955,1.1339824760574042,0,0.5293467604489548
安阳,17.974991023339317,2.068911299697745,0,2618.4,5477614,10768,0,0.5949982046678635,0.06891129969774479,0,0.5292654504227466
天门,16.601545194712397,2.627057497181511,0,693.7,1158640,9101,0,0.3203090389424794,0.6270574971815108,0,0.5291976695913265
果洛藏族自治州,13.507550663511983,1.3998749739529068,0,36.6,215573,205,0,0.29848986729760335,0.6001250260470932,0,0.5291950889284359
518110,13.305707129439128,1.4017028288931612,0,472.5,1593444,548,0,0.33885857411217446,0.5982971711068388,0,0.5290957825524953
572790,17.859192457470794,1.8808102564102565,0,412.6,4931137,16924,0,0.5718384914941588,0.11918974358974355,0,0.5290846537199068
钦州,16.601545194712397,2.9925859598853863,0,160.5,3302238,114921,0,0.3203090389424794,0.9925859598853863,0,0.5290346247559321
517300,12.482572960095297,2.0829414587332056,0,24.5,1330565,46655,0,0.5034854079809407,0.08294145873320558,0,0.5288842502029942
570140,12.727845754542084,1.924619571941111,0,412.6,20414,269,0,0.45443084909158316,0.075380428058889,0,0.5287370670151232
566910,12.067020702070208,2.0648261574491085,0,8893.6,4600276,750,0,0.5865958595859585,0.06482615744910847,0,0.5285793223129769
507880,4.27723373838456,3.674461043027105,0,1866.6,91488908,1155,0,2.144553252323088,1.674461043027105,0,0.528381271655916
578320,16.991001960581983,1.4285684733140256,0,5078.5,2820977,142,0,0.3982003921163965,0.5714315266859744,0,0.5283464176031242
白城,16.57904654036244,2.742127849798838,0,1978.8,1551378,4612,0,0.3158093080724882,0.742127849798838,0,0.5283161469446664
绥化,16.991001960581983,2.6670670241286865,0,3432.1,3756167,1613,0,0.3982003921163965,0.6670670241286865,0,0.528211712712582
